model,block_id,block_name,num_layers,block_max_dim,block_max_array_size,spatial_h,spatial_w,input_channels,output_channels,s3_cache_output_bytes
dit_xl2,0,block_0,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,1,block_1,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,2,block_2,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,3,block_3,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,4,block_4,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,5,block_5,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,6,block_6,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,7,block_7,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,8,block_8,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,9,block_9,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,10,block_10,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,11,block_11,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,12,block_12,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,13,block_13,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,14,block_14,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,15,block_15,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,16,block_16,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,17,block_17,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,18,block_18,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,19,block_19,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,20,block_20,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,21,block_21,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,22,block_22,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,23,block_23,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,24,block_24,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,25,block_25,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,26,block_26,5,6912,7962624,1,256,1152,1152,1179648
dit_xl2,27,block_27,5,6912,7962624,1,256,1152,1152,1179648
